chr	start	end
chr1	9017319	9017344
chr1	9034406	9034503
chr1	9189116	9189153
chr1	9599774	9599789
chr1	9648989	9649087
chr1	9780492	9780665
chr1	9883700	9883707
chr1	10067630	10067757
chr1	10333072	10333089
chr1	10339155	10339196
chr1	10342390	10342423
chr1	10357234	10357247
chr1	10478894	10478949
chr1	10502489	10502497
chr1	10699426	10699441
chr1	11083280	11083305
chr1	11139780	11139879
chr1	11142713	11142725
chr1	11167093	11167239
chr1	11167446	11167471
chr1	11825937	11826172
chr1	11826213	11826536
chr1	11826604	11826853
chr1	11826977	11827107
chr1	11827278	11827321
chr1	11828141	11828332
chr1	11831581	11831686
chr1	11832139	11832267
chr1	11835492	11835667
chr1	11836521	11836695
chr1	11838717	11838873
chr1	11838983	11839137
chr1	11839861	11840012
chr1	11842246	11842362
chr1	11844231	11844469
chr1	11844545	11844624
chr1	11845205	11845346
chr1	11847445	11847550
chr1	11847930	11847980
chr1	11848077	11848104
chr1	11848222	11848401
chr1	11848430	11848435
chr1	11848709	11848803
chr1	11849327	11849503
chr1	11861471	11861471
chr1	11863459	11863513
chr1	11863566	11863571
chr1	11985721	11985723
chr1	11985917	11985923
chr1	11986015	11986041
chr1	11986247	11986259
chr1	12004579	12004712
chr1	12081784	12081897
chr1	12091735	12091745
chr1	12321980	12322127
chr1	12368589	12368652
chr1	12639430	12639440
chr1	12854949	12854954
chr1	12855055	12855061
chr1	12939405	12939654
chr1	12941834	12941834
chr1	12942189	12942212
chr1	12954527	12954602
chr1	12955461	12955463
chr1	12980029	12980170
chr1	13036606	13036616
chr1	13037818	13038048
chr1	13038095	13038277
chr1	13038378	13038381
chr1	13111638	13111672
chr1	13364942	13365177
chr1	13365872	13365917
chr1	13475021	13475110
chr1	13475134	13475155
chr1	13522214	13522222
chr1	13669131	13669143
chr1	13695877	13695879
chr1	13716890	13716904
chr1	13743056	13743062
chr1	14113107	14113110
chr1	14220142	14220251
chr1	14506930	14507087
chr1	15250815	15250899
chr1	15250965	15251068
chr1	15494976	15495189
chr1	15714547	15714627
chr1	15714915	15714918
chr1	15717706	15717759
chr1	15736480	15736524
chr1	15833615	15833628
chr1	15850705	15850734
chr1	15863302	15863309
chr1	15873352	15873366
chr1	16011054	16011087
chr1	16200658	16200736
chr1	16200791	16200890
chr1	16344549	16344606
chr1	16344635	16344680
chr1	16345643	16345724
chr1	16345906	16345917
chr1	16399916	16399937
chr1	16560109	16560229
chr1	16752080	16752226
chr1	16754388	16754510
chr1	16757738	16757744
chr1	17083867	17083888
chr1	17084050	17084152
chr1	17084352	17084355
chr1	17084973	17085081
chr1	17085298	17085337
chr1	17085593	17085627
chr1	17086165	17086165
chr1	17086456	17086488
chr1	17086698	17086732
chr1	17086849	17086985
chr1	17087356	17087368
chr1	17087450	17087451
chr1	17090953	17090975
chr1	17287379	17287399
chr1	17287613	17287625
chr1	17338224	17338233
chr1	17764748	17764953
chr1	17764979	17765010
chr1	17944817	17944956
chr1	18434623	18434692
chr1	18810407	18810492
chr1	19404279	19404341
chr1	19472517	19472524
chr1	19472558	19472600
chr1	19476257	19476289
chr1	19638617	19638618
chr1	19775364	19775473
chr1	19972382	19972421
chr1	20669842	20669847
chr1	20811865	20811872
chr1	20879921	20879961
chr1	20880329	20880379
chr1	20960068	20960251
chr1	21044179	21044194
chr1	21076386	21076425
chr1	21267792	21267863
chr1	21586764	21586847
chr1	21616608	21616709
chr1	21616857	21616979
chr1	21806686	21806696
chr1	22055003	22055036
chr1	22148652	22148656
chr1	22202144	22202240
chr1	22215161	22215211
chr1	22469371	22469415
chr1	22970504	22970510
chr1	23240127	23240194
chr1	23240240	23240300
chr1	23280184	23280501
chr1	23281814	23281919
chr1	23285178	23285362
chr1	23286474	23286592
chr1	23289600	23289709
chr1	23291783	23291854
chr1	23340555	23340571
chr1	23346090	23346106
chr1	23346144	23346197
chr1	23406133	23406160
chr1	23420767	23420775
chr1	23710770	23710773
chr1	23810611	23810626
chr1	24069950	24069997
chr1	24105023	24105143
chr1	24297586	24297621
chr1	24449931	24449957
chr1	24513681	24513738
chr1	24792494	24792633
chr1	24980797	24980834
chr1	24989674	24989715
chr1	25072101	25072116
chr1	25256312	25256355
chr1	25291114	25291138
chr1	25628082	25628096
chr1	25634138	25634307
chr1	25655509	25655627
chr1	25701852	25701857
chr1	25757630	25757669
chr1	25817866	25817875
chr1	25870190	25870277
chr1	26126855	26126904
chr1	26365619	26365636
chr1	26488322	26488339
chr1	26488534	26488598
chr1	26688608	26688666
chr1	26699026	26699084
chr1	26700769	26700781
chr1	26856412	26856458
chr1	27022864	27022914
chr1	27023445	27023561
chr1	27023887	27023985
chr1	27153296	27153395
chr1	27153479	27153598
chr1	27320333	27320548
chr1	27320584	27320832
chr1	27320907	27320961
chr1	27432376	27432475
chr1	27657476	27657600
chr1	27661158	27661245
chr1	27676018	27676024
chr1	27692789	27692959
chr1	27705993	27706101
chr1	27706486	27706520
chr1	28199083	28199176
chr1	28241114	28241171
chr1	28275505	28275525
chr1	28282722	28282765
chr1	28286581	28286660
chr1	28303772	28303900
chr1	28384562	28384562
chr1	28817463	28817524
chr1	28948619	28948644
chr1	29138896	29138955
chr1	29475202	29475234
chr1	29563157	29563166
chr1	31381296	31381346
chr1	31538480	31538626
chr1	31712341	31712394
chr1	31791014	31791083
chr1	31819631	31819651
chr1	31886141	31886151
chr1	32044805	32044868
chr1	32230281	32230403
chr1	32262191	32262241
chr1	32608548	32608625
chr1	32682011	32682167
chr1	32682679	32682801
chr1	32687518	32687587
chr1	32745218	32745257
chr1	32801548	32801634
chr1	32834000	32834007
chr1	32834831	32834857
chr1	33146069	33146086
chr1	33146143	33146147
chr1	33207583	33207709
chr1	33207741	33207790
chr1	33366834	33366839
chr1	33429791	33429966
chr1	33430162	33430196
chr1	33476529	33476537
chr1	33815258	33815413
chr1	34023381	34023522
chr1	34024900	34025070
chr1	34033394	34033441
chr1	34630512	34630648
chr1	35577708	35577731
chr1	35650045	35650046
chr1	36186492	36186581
chr1	36274028	36274036
chr1	36348933	36348987
chr1	36793469	36793481
chr1	36909605	36909634
chr1	37324709	37324720
chr1	37499698	37499709
chr1	37959370	37959497
chr1	37980258	37980275
chr1	38052917	38052927
chr1	38155558	38155558
chr1	38218784	38218793
chr1	38259877	38260041
chr1	38260128	38260159
chr1	38273586	38273726
chr1	38273787	38273803
chr1	38397345	38397413
chr1	38511179	38511222
chr1	38511671	38511710
chr1	38511745	38511827
chr1	38512006	38512104
chr1	38512339	38512369
chr1	39384983	39384987
chr1	39457212	39457228
chr1	39734390	39734829
chr1	39734863	39735226
chr1	39735320	39735352
chr1	39796897	39797385
chr1	39797426	39797531
chr1	39797734	39798020
chr1	39798056	39798136
chr1	39798229	39798364
chr1	39798388	39798622
chr1	39798758	39798882
chr1	39798924	39798994
chr1	39799026	39799355
chr1	39799396	39799539
chr1	39799619	39799722
chr1	39799816	39800223
chr1	39800308	39800387
chr1	39800426	39800508
chr1	39800539	39800682
chr1	39800704	39800778
chr1	39800829	39800914
chr1	39800944	39801016
chr1	39801064	39801416
chr1	39801439	39801509
chr1	39801535	39801607
chr1	39801688	39801810
chr1	39801848	39802175
chr1	39802227	39802283
chr1	39802854	39803003
chr1	39806174	39806260
chr1	39806290	39806389
chr1	39806542	39806622
chr1	39812650	39812882
chr1	39878902	39878906
chr1	39879419	39879430
chr1	39930767	39930784
chr1	39935219	39935287
chr1	39946592	39946690
chr1	39957664	39957695
chr1	39977014	39977035
chr1	39987048	39987105
chr1	39988135	39988154
chr1	40230314	40230352
chr1	40230542	40230617
chr1	40235915	40235948
chr1	40236581	40236633
chr1	40236687	40236754
chr1	40239992	40240128
chr1	40240521	40240615
chr1	40253824	40253944
chr1	40254043	40254157
chr1	40367474	40367560
chr1	40530146	40530192
chr1	40769479	40769484
chr1	41236069	41236073
chr1	41236098	41236194
chr1	41236242	41236322
chr1	41249790	41249846
chr1	41327284	41327315
chr1	41327366	41327369
chr1	41327578	41327628
chr1	41327650	41327722
chr1	41448950	41448952
chr1	41625495	41625504
chr1	41627113	41627175
chr1	41651793	41651805
chr1	41827603	41828004
chr1	41847288	41847475
chr1	41847592	41847810
chr1	41847901	41847909
chr1	41848009	41848070
chr1	41848156	41848203
chr1	41848238	41848311
chr1	41848351	41848352
chr1	41946771	41946774
chr1	41946798	41946864
chr1	43316304	43316414
chr1	43392375	43392478
chr1	43610920	43610968
chr1	43618634	43618650
chr1	43850271	43850277
chr1	43854145	43854145
chr1	44078439	44078471
chr1	44402010	44402088
chr1	44402113	44402263
chr1	44442931	44442962
chr1	44443562	44443570
chr1	44680211	44680265
chr1	44818655	44818664
chr1	45097804	45097880
chr1	45155392	45155525
chr1	45212337	45212431
chr1	45287441	45287620
chr1	45671458	45671492
chr1	45671665	45671800
chr1	45672032	45672035
chr1	46086354	46086376
chr1	46383011	46383150
chr1	46466631	46466651
chr1	47051546	47051646
chr1	47078576	47078772
chr1	47427255	47427393
chr1	47571921	47571933
chr1	47614328	47614466
chr1	47691120	47691210
chr1	47882001	47882014
chr1	47882630	47882780
chr1	47882872	47882912
chr1	47903837	47904032
chr1	47904951	47904966
chr1	48694931	48694948
chr1	48866445	48866521
chr1	48878814	48878823
chr1	49242404	49242483
chr1	50162949	50162956
chr1	50575609	50575636
chr1	50917734	50917865
chr1	51775056	51775063
chr1	51796109	51796202
chr1	51796825	51796885
chr1	52260558	52260615
chr1	52818845	52818887
chr1	52889497	52889552
chr1	52962830	52962855
chr1	53068152	53068219
chr1	53192326	53192355
chr1	53351565	53351566
chr1	53387155	53387190
chr1	53407468	53407479
chr1	53553907	53553918
chr1	53742550	53742555
chr1	54708993	54708996
chr1	55199383	55199383
chr1	55247038	55247050
chr1	55250394	55250526
chr1	55266776	55266795
chr1	57111061	57111154
chr1	57499059	57499106
chr1	57499196	57499246
chr1	58939512	58939640
chr1	59248288	59248303
chr1	60163320	60163412
chr1	62582903	62582965
chr1	62626687	62626698
chr1	62672578	62672600
chr1	63010618	63010710
chr1	63096911	63097017
chr1	63153898	63153898
chr1	63788853	63788917
chr1	64240106	64240179
chr1	64709852	64709901
chr1	64726286	64726377
chr1	64732742	64732891
chr1	65131740	65131740
chr1	65775381	65775575
chr1	66038024	66038032
chr1	66098929	66098948
chr1	66820449	66820577
chr1	67099763	67099846
chr1	67160122	67160187
chr1	67395986	67396067
chr1	67568945	67569065
chr1	67577260	67577327
chr1	68698022	68698034
chr1	70034323	70034324
chr1	70144064	70144161
chr1	70694268	70694272
chr1	70697493	70697626
chr1	70697843	70697897
chr1	70900808	70900860
chr1	71327988	71328080
chr1	71331372	71331516
chr1	74901764	74901789
chr1	74930435	74930443
chr1	75199124	75199140
chr1	76007192	76007201
chr1	76255837	76255846
chr1	76282155	76282231
chr1	78034017	78034129
chr1	78099045	78099090
chr1	78105134	78105156
chr1	78413199	78413237
chr1	78414364	78414384
chr1	78434706	78434768
chr1	82418671	82418709
chr1	82452617	82452713
chr1	82452972	82453022
chr1	82455341	82455454
chr1	85029418	85029421
chr1	85039858	85039887
chr1	85040119	85040131
chr1	85121133	85121271
chr1	85136979	85136986
chr1	85666685	85666727
chr1	87195867	87195881
chr1	87563669	87563676
chr1	89325570	89325582
chr1	89474571	89474619
chr1	89480088	89480123
chr1	89480152	89480196
chr1	92495637	92495646
chr1	93128276	93128374
chr1	93128397	93128422
chr1	93128977	93129009
chr1	93426933	93426947
chr1	93646102	93646332
chr1	93646362	93646439
chr1	93677731	93677813
chr1	93691906	93691927
chr1	93735904	93736114
chr1	93736196	93736310
chr1	94079404	94079492
chr1	94697173	94697187
chr1	95392394	95392398
chr1	95657434	95657458
chr1	95699787	95699830
chr1	95705343	95705462
chr1	100436093	100436200
chr1	100572468	100572549
chr1	100588026	100588032
chr1	100623894	100623923
chr1	100733675	100733679
chr1	100817313	100817364
chr1	100970370	100970505
chr1	101005204	101005217
chr1	101005269	101005269
chr1	101005415	101005519
chr1	102278570	102278702
chr1	102312401	102312566
chr1	104161627	104161655
chr1	104161685	104161697
chr1	104166577	104166577
chr1	104166764	104166767
chr1	104234014	104234015
chr1	104234110	104234146
chr1	104297168	104297267
chr1	108119014	108119097
chr1	108211946	108212094
chr1	108771699	108771707
chr1	108993388	108993401
chr1	109010197	109010228
chr1	109730738	109730770
chr1	110009466	110009479
chr1	110026652	110026702
chr1	110037162	110037169
chr1	110085589	110085624
chr1	110453646	110453657
chr1	110582446	110582559
chr1	110613228	110613234
chr1	111144805	111144822
chr1	111217321	111217326
chr1	111746918	111746975
chr1	111968084	111968127
chr1	111969350	111969381
chr1	111991478	111991483
chr1	111991810	111991839
chr1	111992079	111992080
chr1	112032162	112032346
chr1	112298323	112298329
chr1	112533519	112533732
chr1	112533770	112533809
chr1	112539049	112539134
chr1	113083399	113083494
chr1	113243154	113243303
chr1	113257710	113257713
chr1	113257915	113257923
chr1	113933656	113933697
chr1	114430030	114430039
chr1	114440618	114440618
chr1	114522620	114522748
chr1	114522825	114522826
chr1	114940279	114940291
chr1	114963002	114963073
chr1	115053403	115053559
chr1	115323009	115323038
chr1	115488910	115488915
chr1	115632015	115632053
chr1	116519282	116519335
chr1	117122364	117122441
chr1	117122469	117122478
chr1	117236764	117236819
chr1	117237381	117237477
chr1	117249079	117249154
chr1	117452826	117452874
chr1	117699552	117699588
chr1	119433490	119433588
chr1	119474401	119474436
chr1	119530254	119530418
chr1	119923316	119923346
chr1	120572529	120572535
chr1	120846039	120846045
chr1	120854498	120854511
chr1	143767363	143767457
chr1	143767550	143767580
chr1	143906012	143906072
chr1	143910078	143910155
chr1	144995000	144995054
chr1	145039691	145039704
chr1	145115709	145115710
chr1	145248888	145248894
chr1	145477173	145477258
chr1	145477324	145477444
chr1	145534889	145534996
chr1	145584907	145584909
chr1	145648016	145648067
chr1	145698786	145698818
chr1	145756417	145756492
chr1	145756552	145756613
chr1	145761298	145761304
chr1	145765019	145765091
chr1	145883891	145883998
chr1	145897170	145897194
chr1	145900398	145900401
chr1	145923056	145923093
chr1	145923237	145923419
chr1	146696656	146696659
chr1	147124415	147124450
chr1	147400650	147400668
chr1	148016409	148016426
chr1	148025798	148025831
chr1	148644270	148644389
chr1	148644459	148644507
chr1	148806353	148806378
chr1	148806463	148806502
chr1	149878421	149878453
chr1	150253246	150253312
chr1	150527042	150527110
chr1	150799019	150799076
chr1	150917670	150917696
chr1	150934630	150934630
chr1	151017356	151017443
chr1	151104744	151104820
chr1	151105333	151105414
chr1	151149515	151149540
chr1	151188438	151188468
chr1	151254552	151254555
chr1	151265830	151265938
chr1	151384263	151384274
chr1	151666098	151666129
chr1	151666785	151666893
chr1	151804116	151804142
chr1	151811175	151811190
chr1	152083953	152083979
chr1	152084245	152084322
chr1	152084752	152084816
chr1	152185868	152185992
chr1	152186209	152186304
chr1	152186351	152186367
chr1	152186665	152186716
chr1	152186817	152186915
chr1	152187102	152187133
chr1	152187234	152187247
chr1	152187639	152187885
chr1	152188031	152188143
chr1	152188260	152188371
chr1	152188701	152188726
chr1	152188749	152188797
chr1	152188940	152189008
chr1	152189058	152189144
chr1	152189385	152189528
chr1	152190315	152190402
chr1	152190825	152190869
chr1	152276483	152276497
chr1	152277642	152277951
chr1	152278075	152278221
chr1	152278265	152278391
chr1	152278424	152278437
chr1	152278865	152279077
chr1	152279115	152279295
chr1	152279320	152279460
chr1	152279505	152279615
chr1	152328499	152328507
chr1	152648607	152648651
chr1	152648786	152648824
chr1	152770511	152770615
chr1	152800080	152800116
chr1	152800208	152800281
chr1	152882729	152882845
chr1	152883076	152883171
chr1	152883391	152883578
chr1	153233707	153233771
chr1	153233916	153233941
chr1	153234093	153234178
chr1	153513861	153513942
chr1	153747590	153747646
chr1	153916859	153916873
chr1	153917611	153917620
chr1	153967552	153967656
chr1	154042749	154042764
chr1	154185026	154185100
chr1	154241838	154241889
chr1	154243306	154243330
chr1	154243357	154243395
chr1	154301425	154301551
chr1	154310158	154310181
chr1	154523343	154523365
chr1	154530881	154530898
chr1	154947341	154947373
chr1	154961407	154961443
chr1	154965041	154965145
chr1	154996029	154996044
chr1	155006846	155006901
chr1	155108063	155108156
chr1	155147001	155147117
chr1	155151285	155151322
chr1	155159233	155159371
chr1	155160825	155161008
chr1	155270767	155270792
chr1	155294581	155294595
chr1	155327519	155327540
chr1	155580163	155580206
chr1	155581113	155581146
chr1	155649034	155649104
chr1	155880669	155880676
chr1	155899618	155899631
chr1	155948264	155948275
chr1	155952898	155952915
chr1	155988061	155988159
chr1	156012037	156012090
chr1	156046492	156046569
chr1	156051435	156051452
chr1	156096548	156096703
chr1	156108937	156108989
chr1	156131137	156131143
chr1	156252398	156252471
chr1	156263394	156263430
chr1	156265272	156265280
chr1	156280372	156280480
chr1	156450435	156450467
chr1	156450505	156450548
chr1	156561668	156561678
chr1	156696661	156696666
chr1	156697470	156697473
chr1	156721206	156721263
chr1	156760861	156760954
chr1	156874712	156874790
chr1	156926236	156926338
chr1	157646502	157646635
chr1	157665403	157665415
chr1	157746924	157746928
chr1	158058241	158058244
chr1	158263286	158263392
chr1	158815377	158815517
chr1	158909230	158909303
chr1	159015087	159015092
chr1	159174791	159174819
chr1	159176246	159176271
chr1	159770384	159770404
chr1	159825098	159825101
chr1	159890337	159890369
chr1	159893226	159893260
chr1	160178395	160178455
chr1	160340737	160340749
chr1	160340777	160340903
chr1	160461198	160461205
chr1	160771726	160771728
chr1	160802434	160802509
chr1	161092775	161092826
chr1	161140973	161141000
chr1	161146639	161146873
chr1	161494564	161494663
chr1	161561944	161561977
chr1	161569618	161569641
chr1	161695617	161695698
chr1	162351628	162351653
chr1	162562522	162562572
chr1	162822912	162822954
chr1	165601477	165601511
chr1	165797092	165797141
chr1	168106539	168106659
chr1	169764244	169764302
chr1	169764350	169764354
chr1	169768037	169768099
chr1	170927620	170927639
chr1	170967560	170967598
chr1	171496932	171496983
chr1	171558508	171558744
chr1	171751050	171751097
chr1	172062836	172062863
chr1	172102123	172102138
chr1	172387421	172387457
chr1	172422181	172422329
chr1	172501613	172501757
chr1	172501808	172501901
chr1	172502351	172502428
chr1	172502453	172502470
chr1	172546755	172546757
chr1	172546827	172546846
chr1	173174450	173174556
chr1	173478727	173478732
chr1	173490458	173490477
chr1	173879891	173879891
chr1	174517028	174517233
chr1	174846539	174846575
chr1	174992408	174992420
chr1	177133708	177133759
chr1	178439828	178439858
chr1	179051440	179051442
chr1	179051496	179051522
chr1	179089325	179089329
chr1	179089373	179089409
chr1	179348586	179348617
chr1	179494486	179494578
chr1	179876958	179876998
chr1	179924239	179924278
chr1	179955304	179955312
chr1	179975703	179975703
chr1	180042936	180043043
chr1	180882380	180882384
chr1	181058419	181058462
chr1	181058515	181058693
chr1	182798051	182798054
chr1	182921971	182921975
chr1	183471388	183471527
chr1	183481976	183481984
chr1	183774394	183774458
chr1	184006237	184006249
chr1	184006450	184006455
chr1	184039750	184039866
chr1	184679684	184679684
chr1	184680917	184681011
chr1	184718719	184718726
chr1	184943434	184943441
chr1	185144231	185144245
chr1	185275617	185275720
chr1	186344209	186344248
chr1	186344691	186344760
chr1	192987842	192987879
chr1	193028417	193028500
chr1	193028524	193028657
chr1	193028763	193029036
chr1	193054221	193054230
chr1	193074779	193074812
chr1	196227290	196227296
chr1	196757875	196757900
chr1	196757949	196757979
chr1	196759191	196759232
chr1	196759333	196759357
chr1	196884193	196884194
chr1	197056094	197056102
chr1	197115271	197115289
chr1	197115332	197115449
chr1	197411470	197411480
chr1	197871849	197871998
chr1	197886431	197886570
chr1	197886648	197886703
chr1	197901049	197901105
chr1	198661476	198661476
chr1	198691598	198691605
chr1	200007829	200007900
chr1	200610276	200610383
chr1	200797701	200797733
chr1	200801958	200801960
chr1	200943078	200943132
chr1	201122911	201122911
chr1	201179671	201179814
chr1	201179939	201180034
chr1	201331514	201331522
chr1	201386244	201386247
chr1	201598532	201598635
chr1	201617755	201617786
chr1	201754461	201754468
chr1	201773617	201773625
chr1	201952564	201952720
chr1	202130466	202130504
chr1	202407276	202407290
chr1	202894314	202894335
chr1	202897609	202897677
chr1	203008137	203008328
chr1	203012525	203012626
chr1	203013059	203013198
chr1	203013507	203013540
chr1	203013566	203013581
chr1	203013824	203013913
chr1	203014496	203014654
chr1	203014969	203015005
chr1	203015045	203015085
chr1	203015376	203015484
chr1	203017355	203017438
chr1	203017711	203017842
chr1	203018046	203018108
chr1	203018807	203018895
chr1	203020847	203020874
chr1	203134184	203134307
chr1	203134337	203134367
chr1	203143507	203143524
chr1	204103797	204103822
chr1	204495488	204495545
chr1	205085097	205085100
chr1	205215740	205215819
chr1	205225453	205225544
chr1	205498729	205498775
chr1	205593011	205593019
chr1	206145502	206145518
chr1	206681004	206681024
chr1	206760326	206760362
chr1	206809143	206809180
chr1	206858832	206858853
chr1	207200968	207200996
chr1	207225530	207225580
chr1	207527352	207527493
chr1	207718752	207718773
chr1	209602654	209602753
chr1	209964238	209964276
chr1	210415714	210415716
chr1	211545470	211545485
chr1	211966419	211966464
chr1	212002662	212002665
chr1	212218002	212218012
chr1	212606358	212606428
chr1	212873057	212873075
chr1	212900484	212900607
chr1	213134653	213134657
chr1	213146766	213146879
chr1	213244374	213244384
chr1	215741029	215741093
chr1	215751304	215751309
chr1	217783421	217783534
chr1	220101143	220101160
chr1	220154720	220154755
chr1	220197606	220197607
chr1	220205729	220205775
chr1	220219806	220219812
chr1	220231177	220231221
chr1	220239415	220239459
chr1	220960287	220960337
chr1	220971401	220971407
chr1	220971494	220971564
chr1	222791453	222791585
chr1	222817769	222817919
chr1	223408252	223408273
chr1	223567932	223567946
chr1	223900284	223900323
chr1	224033364	224033382
chr1	224378018	224378021
chr1	224484203	224484212
chr1	224544696	224544745
chr1	224563605	224563615
chr1	224566771	224566792
chr1	224927048	224927048
chr1	225705069	225705085
chr1	225705153	225705365
chr1	225705453	225705673
chr1	225723209	225723263
chr1	225840388	225840392
chr1	226075486	226075549
chr1	226374338	226374376
chr1	226411429	226411438
chr1	226496837	226497017
chr1	226497067	226497204
chr1	226497327	226497374
chr1	226497407	226497550
chr1	226788367	226788375
chr1	226895523	226895616
chr1	226925141	226925147
chr1	227198579	227198663
chr1	227198695	227198733
chr1	227239582	227239686
chr1	227247074	227247112
chr1	227256355	227256400
chr1	227330646	227330661
chr1	227923202	227923241
chr1	227963490	227963582
chr1	228135494	228135588
chr1	228194830	228194847
chr1	228247850	228248005
chr1	228329327	228329530
chr1	228345886	228345903
chr1	228400078	228400092
chr1	228447262	228447477
chr1	228459626	228459748
chr1	228459843	228459922
chr1	228460973	228461027
chr1	228461099	228461219
chr1	228486181	228486415
chr1	228486971	228487177
chr1	228487594	228487609
chr1	228487645	228487714
chr1	228487777	228487823
chr1	228491376	228491441
chr1	228491531	228491639
chr1	228492015	228492129
chr1	228492220	228492267
chr1	228492826	228492910
chr1	228493001	228493087
chr1	228566092	228566106
chr1	228675304	228675309
chr1	228675388	228675556
chr1	228698073	228698379
chr1	228699352	228699518
chr1	228699637	228699658
chr1	228871490	228871495
chr1	229622118	229622262
chr1	229693898	229694004
chr1	229694037	229694070
chr1	229694125	229694156
chr1	229694226	229694273
chr1	229737891	229737897
chr1	230203028	230203153
chr1	230561344	230561648
chr1	231094026	231094045
chr1	231114306	231114414
chr1	231351248	231351258
chr1	231353603	231353654
chr1	231355583	231355698
chr1	231487050	231487050
chr1	231488312	231488332
chr1	231489113	231489151
chr1	231557167	231557171
chr1	231557240	231557308
chr1	231837825	231837828
chr1	232597939	232598064
chr1	232941093	232941186
chr1	233137283	233137298
chr1	233386449	233386461
chr1	233463828	233463860
chr1	233464144	233464171
chr1	233464256	233464311
chr1	233749948	233749999
chr1	233750031	233750073
chr1	234350207	234350320
chr1	234509213	234509333
chr1	234509357	234509379
chr1	234601402	234601450
chr1	234614143	234614144
chr1	234614643	234614648
chr1	234744963	234744973
chr1	234745184	234745240
chr1	235315936	235315939
chr1	235335961	235335963
chr1	235582740	235582746
chr1	235628879	235628940
chr1	235667537	235667552
chr1	236732296	236732424
chr1	236897733	236897818
chr1	236899858	236899968
chr1	236958912	236958962
chr1	237918361	237918417
chr1	240343469	240343480
chr1	240963941	240964021
chr1	241695667	241695680
